"State.Name","Year","Deaths","State_ID","LogDeaths","ExistingPolicy","Law","LawDateforMap","LawDate","LawDateMonth","MedicaidPolicyDate","MedicaidPolicyDateMonth","AnyPolicyDateforMap","AnyPolicyDate","ExistingPDMP","PhysicianDensity2009","PhysicianDensity2019","Pop2010","Pop2020","Pop2022","AgeAdjDeathRate","AvgTemp","PoliticalLeaning"
"Indiana",2016,75,14,4.33073334028633,0,1,2017,2018,201707,0,0,2017,2018,1,22.3,23.9,6483802,6785668,6833037,863.5,53.2111111111111,"Republicans"
"Indiana",2017,153,14,5.03695260241363,0,1,2017,2018,201707,0,0,2017,2018,1,22.3,23.9,6483802,6785668,6833037,863.5,53.2111111111111,"Republicans"
"Indiana",2018,151,14,5.02388052084628,0,1,2017,2018,201707,0,0,2017,2018,1,22.3,23.9,6483802,6785668,6833037,863.5,53.2111111111111,"Republicans"
"Indiana",2019,131,14,4.88280192258637,0,1,2017,2018,201707,0,0,2017,2018,1,22.3,23.9,6483802,6785668,6833037,863.5,53.2111111111111,"Republicans"
"Indiana",2020,217,14,5.38449506278909,0,1,2017,2018,201707,0,0,2017,2018,1,22.3,23.9,6483802,6785668,6833037,863.5,53.2111111111111,"Republicans"
"Indiana",2021,260,14,5.56452040732269,0,1,2017,2018,201707,0,0,2017,2018,1,22.3,23.9,6483802,6785668,6833037,863.5,53.2111111111111,"Republicans"
"Indiana",2022,227,14,5.42934562895444,0,1,2017,2018,201707,0,0,2017,2018,1,22.3,23.9,6483802,6785668,6833037,863.5,53.2111111111111,"Republicans"
"Iowa",2015,0,15,0,0,0,0,0,0,2019,201807,2018,2019,0,22.8,23.6,3046355,3190372,3200517,752.3,49.0555555555556,"Republican"
"Iowa",2016,0,15,0,0,0,0,0,0,2019,201807,2018,2019,0,22.8,23.6,3046355,3190372,3200517,752.3,49.0555555555556,"Republican"
"Iowa",2017,27,15,3.3322045101752,0,0,0,0,0,2019,201807,2018,2019,0,22.8,23.6,3046355,3190372,3200517,752.3,49.0555555555556,"Republican"
"Iowa",2018,10,15,2.39789527279837,0,0,0,0,0,2019,201807,2018,2019,0,22.8,23.6,3046355,3190372,3200517,752.3,49.0555555555556,"Republican"
"Iowa",2019,11,15,2.484906649788,0,0,0,0,0,2019,201807,2018,2019,0,22.8,23.6,3046355,3190372,3200517,752.3,49.0555555555556,"Republican"
"Iowa",2020,26,15,3.29583686600433,0,0,0,0,0,2019,201807,2018,2019,0,22.8,23.6,3046355,3190372,3200517,752.3,49.0555555555556,"Republican"
"Iowa",2021,35,15,3.58351893845611,0,0,0,0,0,2019,201807,2018,2019,0,22.8,23.6,3046355,3190372,3200517,752.3,49.0555555555556,"Republican"
"Iowa",2022,23,15,3.17805383034795,0,0,0,0,0,2019,201807,2018,2019,0,22.8,23.6,3046355,3190372,3200517,752.3,49.0555555555556,"Republican"
"Kansas",2015,0,16,0,0,0,0,0,0,0,0,0,0,0,24,26.9,2853118,2937847,2937150,790.4,55.7333333333333,"Republicans"
"Kansas",2016,0,16,0,0,0,0,0,0,0,0,0,0,0,24,26.9,2853118,2937847,2937150,790.4,55.7333333333333,"Republicans"
"Kansas",2017,10,16,2.39789527279837,0,0,0,0,0,0,0,0,0,0,24,26.9,2853118,2937847,2937150,790.4,55.7333333333333,"Republicans"
"Kansas",2018,0,16,0,0,0,0,0,0,0,0,0,0,0,24,26.9,2853118,2937847,2937150,790.4,55.7333333333333,"Republicans"
"Kansas",2019,11,16,2.484906649788,0,0,0,0,0,0,0,0,0,0,24,26.9,2853118,2937847,2937150,790.4,55.7333333333333,"Republicans"
"Kansas",2020,42,16,3.76120011569356,0,0,0,0,0,0,0,0,0,0,24,26.9,2853118,2937847,2937150,790.4,55.7333333333333,"Republicans"
